Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,2,Afghanistan,100,India,5610,Import Quantity,15,Wheat,2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,2,Afghanistan,100,India,5610,Import Quantity,15,Wheat,2018,2018,tonnes,26406,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,100,India,5610,Import Quantity,15,Wheat,2020,2020,tonnes,55584,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,108,Kazakhstan,5610,Import Quantity,15,Wheat,2016,2016,tonnes,253782,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,108,Kazakhstan,5610,Import Quantity,15,Wheat,2017,2017,tonnes,321106,,Official data
TM,Detailed trade matrix,2,Afghanistan,108,Kazakhstan,5610,Import Quantity,15,Wheat,2018,2018,tonnes,386758,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,108,Kazakhstan,5610,Import Quantity,15,Wheat,2019,2019,tonnes,292942,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,108,Kazakhstan,5610,Import Quantity,15,Wheat,2020,2020,tonnes,528433,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,108,Kazakhstan,5910,Export Quantity,15,Wheat,2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,2,Afghanistan,138,Mexico,5910,Export Quantity,15,Wheat,2016,2016,tonnes,0,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,138,Mexico,5910,Export Quantity,15,Wheat,2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,15,Wheat,2016,2016,tonnes,4691,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,15,Wheat,2017,2017,tonnes,2765,,Official data
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,15,Wheat,2018,2018,tonnes,18745,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,15,Wheat,2019,2019,tonnes,40926,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,15,Wheat,2018,2018,tonnes,0,,Official data
TM,Detailed trade matrix,2,Afghanistan,185,Russian Federation,5610,Import Quantity,15,Wheat,2018,2018,tonnes,65,*,Unofficial figure
